[2026-01-07 11:34] Conectando a la base de datos...
[2026-01-07 11:34] Registros encontrados: 78
[2026-01-14 09:32] Ficha generada: 71N230600480.html (Libre)
[2026-01-14 09:32] Ficha generada: 99J215300802.html (Libre)
[2026-01-14 09:32] Ficha generada: 71J2204200335.html (Libre)
[2026-01-14 09:32] Ficha generada: D7J250710624.html (Libre)
[2026-01-14 09:32] Ficha generada: D7J250710449.html (Libre)
[2026-01-14 09:32] Ficha generada: 99J242306742.html (Libre)
[2026-01-14 09:32] Ficha generada: 99J242306733.html (Libre)
[2026-01-14 09:32] Ficha generada: D7J250710609.html (Libre)
[2026-01-14 09:32] Ficha generada: 76N232000100.html (Libre)
[2026-01-14 09:32] Ficha generada: 99J242306746.html (Libre)
[2026-01-14 09:32] Ficha generada: 99J225200814.html (Libre)
[2026-01-14 09:32] Ficha generada: 99J225200828.html (Libre)
[2026-01-14 09:32] Ficha generada: 71J217300060.html (Libre)
[2026-01-14 09:32] Ficha generada: 99J243902778.html (Libre)
[2026-01-14 09:32] Ficha generada: 71J184000413.html (Libre)
[2026-01-14 09:32] Ficha generada: 71J185000797.html (Libre)
[2026-01-14 09:32] Ficha generada: 99J225200827.html (Libre)
[2026-01-14 09:32] Ficha generada: D7N251951102.html (Libre)
[2026-01-14 09:32] Ficha generada: D1J192901471.html (Libre)
[2026-01-14 09:32] Ficha generada: 71J202000208.html (Libre)
[2026-01-14 09:32] Ficha generada: D1J214310108.html (Libre)
[2026-01-14 09:32] Ficha generada: 99J225200833.html (Libre)
[2026-01-14 09:32] Ficha generada: 99J225200832.html (Libre)
[2026-01-14 09:32] Ficha generada: 71N222100780.html (Libre)
[2026-01-14 09:32] Ficha generada: 99J230210407.html (Libre)
[2026-01-14 09:32] Ficha generada: 99J225200807.html (Libre)
[2026-01-14 09:32] Ficha generada: 99J225200811.html (Libre)
[2026-01-14 09:32] Ficha generada: 99J215300799.html (Libre)
[2026-01-14 09:32] Ficha generada: 99J230300150.html (Libre)
[2026-01-14 09:32] Ficha generada: D7N225053419.html (Libre)
[2026-01-14 09:32] Ficha generada: 99J242306726.html (Libre)
[2026-01-14 09:32] Ficha generada: D7N233951483.html (Libre)
[2026-01-14 09:32] Ficha generada: 71N222100778.html (Libre)
[2026-01-14 09:32] Ficha generada: D7J221103602.html (Libre)
[2026-01-14 09:32] Ficha generada: D7N225150088.html (Libre)
[2026-01-14 09:32] Ficha generada: D7J221103593.html (Libre)
[2026-01-14 09:32] Ficha generada: T3J250600150.html (Libre)
[2026-01-14 09:32] Ficha generada: T3N252400311.html (Libre)
[2026-01-14 09:32] Ficha generada: T3J250600138.html (Libre)
[2026-01-14 09:32] Ficha generada: T3J250600112.html (Libre)
[2026-01-14 09:32] Ficha generada: 15321821507.html (Libre)
[2026-01-14 09:32] Ficha generada: D7J250710433.html (Libre)
[2026-01-14 09:32] Ficha generada: D7N250850930.html (Libre)
[2026-01-14 09:32] Ficha generada: D1J192901475.html (Libre)
[2026-01-14 09:32] Ficha generada: D1J190104604.html (Libre)
[2026-01-14 09:32] Total de fichas generadas: 80
[2026-05-05 11:01] Conectando a la base de datos...
[2026-05-05 11:01] Registros encontrados: 79
[2026-05-05 11:01] Fila ignorada por serial vacío: {'ID': 1, 'Modelo': 'ZT61046', 'N° de Parte': '71J184700458', 'Ubicación': 'Motor Kits', 'Conección': 'RED', 'DPIS': 600, 'Host Name': 'MXMTYM0LOCAL', 'IP': '10.59.14.4', 'Ribbon': 'RESINA', 'Ribbon Part Number': None, 'Fecha Mtto': '09/ABRIL/2026', 'Status': 'ACTIVA'}
[2026-05-05 11:01] Fila ignorada por serial vacío: {'ID': 2, 'Modelo': 'ZT61046-T010200Z', 'N° de Parte': '71N222200092', 'Ubicación': 'Recibos-Estacion-4', 'Conección': 'RED', 'DPIS': 600, 'Host Name': 'MXMTYM0', 'IP': '10.59.14.75', 'Ribbon': None, 'Ribbon Part Number': None, 'Fecha Mtto': '08/ABRIL/2026', 'Status': 'ACTIVAS'}
[2026-05-05 11:01] Fila ignorada por serial vacío: {'ID': 3, 'Modelo': 'ZT61046-T010200Z', 'N° de Parte': '71N222100816', 'Ubicación': 'Recibos-Estacion- 3 ', 'Conección': 'RED', 'DPIS': 600, 'Host Name': 'MXMTYM0', 'IP': '10.59.14.88', 'Ribbon': None, 'Ribbon Part Number': None, 'Fecha Mtto': '08/ABRIL/2026', 'Status': 'ACTIVAS'}
[2026-05-05 11:01] Fila ignorada por serial vacío: {'ID': 4, 'Modelo': 'ZT61043-T010200Z', 'N° de Parte': '71J222200415', 'Ubicación': 'Incoming LAB', 'Conección': 'RED', 'DPIS': 600, 'Host Name': 'MXMTYM0', 'IP': '192.168.254.254', 'Ribbon': None, 'Ribbon Part Number': None, 'Fecha Mtto': '13/ABRIL/2026', 'Status': 'NO RECURRENTE'}
[2026-05-05 11:01] Fila ignorada por serial vacío: {'ID': 5, 'Modelo': 'ZT61046-T010200Z', 'N° de Parte': '71J203800328', 'Ubicación': 'Incoming LAB', 'Conección': 'RED', 'DPIS': 600, 'Host Name': 'MXMTYM0', 'IP': '10.59.14.63', 'Ribbon': None, 'Ribbon Part Number': None, 'Fecha Mtto': '13/ABRIL/2026', 'Status': 'NO RECURRENTE'}
[2026-05-05 11:01] Fila ignorada por serial vacío: {'ID': 6, 'Modelo': 'ZT61043-T010100Z', 'N° de Parte': '71J195100147', 'Ubicación': 'Recibos-Estacion-2', 'Conección': 'RED', 'DPIS': 600, 'Host Name': 'MXMTYM0', 'IP': '10.59.14.64', 'Ribbon': None, 'Ribbon Part Number': None, 'Fecha Mtto': '08/ABRIL/2026', 'Status': 'ACTIVAS'}
[2026-05-05 11:01] Fila ignorada por serial vacío: {'ID': 7, 'Modelo': 'ZT61043-T010200Z', 'N° de Parte': '71J213000208', 'Ubicación': 'Recibos-Estacion Movil-1', 'Conección': 'WLAN', 'DPIS': 600, 'Host Name': 'MXMTYM0', 'IP': '10.59.11.37', 'Ribbon': None, 'Ribbon Part Number': None, 'Fecha Mtto': '08/ABRIL/2026', 'Status': 'ACTIVAS'}
[2026-05-05 11:01] Fila ignorada por serial vacío: {'ID': 8, 'Modelo': 'ZT61046-T010100Z', 'N° de Parte': '71J192000042', 'Ubicación': 'Embarques-Estacion-3', 'Conección': 'RED', 'DPIS': 600, 'Host Name': 'MXMTYM0', 'IP': '10.59.14.40', 'Ribbon': None, 'Ribbon Part Number': None, 'Fecha Mtto': '08/ABRIL/2026', 'Status': 'ACTIVA'}
[2026-05-05 11:01] Fila ignorada por serial vacío: {'ID': 9, 'Modelo': 'ZD6A143', 'N° de Parte': 'D7J221103589', 'Ubicación': 'D-TRASH 3', 'Conección': 'USB', 'DPIS': 300, 'Host Name': 'MXMTYM0LOCAL', 'IP': 'N/A', 'Ribbon': '', 'Ribbon Part Number': '', 'Fecha Mtto': '13/ABRIL/2026', 'Status': 'ACTIVA'}
[2026-05-05 11:01] Fila ignorada por serial vacío: {'ID': 10, 'Modelo': 'ZD621', 'N° de Parte': 'D7J250321039', 'Ubicación': 'D-TRASH Carrier 6', 'Conección': 'USB', 'DPIS': None, 'Host Name': 'MXMTYM0LOCAL', 'IP': 'N/A', 'Ribbon': None, 'Ribbon Part Number': None, 'Fecha Mtto': '08/ABRIL/2026', 'Status': 'ACTIVA'}
[2026-05-05 11:01] Fila ignorada por serial vacío: {'ID': 11, 'Modelo': 'ZD620', 'N° de Parte': 'D1J192704945', 'Ubicación': 'D-TRASH VOLTURE 3', 'Conección': 'USB', 'DPIS': None, 'Host Name': 'MXMTYM0LOCAL', 'IP': 'N/A', 'Ribbon': None, 'Ribbon Part Number': None, 'Fecha Mtto': '08/ABRIL/2026', 'Status': 'ACTIVA'}
[2026-05-05 11:01] Fila ignorada por serial vacío: {'ID': 12, 'Modelo': 'ZD620', 'N° de Parte': 'D1J192704958', 'Ubicación': 'D-TRASH Carrier 4', 'Conección': 'USB', 'DPIS': None, 'Host Name': 'MXMTYM0LOCAL', 'IP': 'N/A', 'Ribbon': None, 'Ribbon Part Number': None, 'Fecha Mtto': '08/ABRIL/2026', 'Status': 'ACTIVA'}
[2026-05-05 11:01] Fila ignorada por serial vacío: {'ID': 13, 'Modelo': 'ZT61046-T010200Z', 'N° de Parte': '71N222100931', 'Ubicación': 'D-TRASH IMPRESORA GRN', 'Conección': 'RED', 'DPIS': None, 'Host Name': 'MXMTYM0', 'IP': '10.59.14.77', 'Ribbon': None, 'Ribbon Part Number': None, 'Fecha Mtto': '08/ABRIL/2026', 'Status': 'ACTIVA'}
[2026-05-05 11:01] Fila ignorada por serial vacío: {'ID': 15, 'Modelo': 'ZD620', 'N° de Parte': 'D1J214310098', 'Ubicación': 'AXIS D-TRASH 1', 'Conección': 'RED', 'DPIS': 300, 'Host Name': 'MXMTYM0', 'IP': '10.59.14.105', 'Ribbon': 'RESINA', 'Ribbon Part Number': None, 'Fecha Mtto': '13/ABRIL/2026', 'Status': 'ACTIVA'}
